,Coefficient,Year
Civilian Labor Force,336.5,2015
Mean Travel Time,86.46,2015
Internet Access,403.6,2015
Teacher Wages,0.22,2015
Pupil Teacher Ratio,-419.9,2015
Civilian Labor Force,422.7,2016
Mean Travel Time,249.8,2016
Internet Access,358.8,2016
Teacher Wages,0.2,2016
Pupil Teacher Ratio,-289.6,2016
Civilian Labor Force,450.5,2017
Mean Travel Time,289,2017
Internet Access,397.1,2017
Teacher Wages,0.2,2017
Pupil Teacher Ratio,-285.6,2017
