Total Population,Female,Aged_18_64,Median_Age,Family_Households,Average_household_size,Now_married,High_school_graduate,Some_college_associates,bachelors_degree,graduate_degree,Foreign_born,Civilian_labor_force,Mean_travel_time,Per_capita_income,Internet_Access,Teacher_Wages,Pupil_Teacher_Ratio,Black
4863300,51.6,61.2,39,65.2,2.56,46.9,30.6,29.8,15.4,9.4,163629,53.3,24.6,25810,74.7,48518,15.89,0.27
741894,47.4,64.6,33.5,66,2.87,47.5,28,35.6,19,10.6,57364,62.1,18,34187,85.7,67443,15.8,0.03
6931071,50.3,59.6,37.5,65.5,2.69,46.8,23.9,33.9,18.1,10.8,934883,55.3,25.3,27997,83.1,47218,23.1,0.04
2988248,50.8,60.1,38,65.5,2.54,48.9,34.3,29.3,14.2,8.2,138592,54.4,21.2,24264,70.9,48218,15.29,0.15
39250017,50.3,63.1,36.4,68.7,2.97,46.5,20.5,29,20.6,12.3,10677663,58.8,29.4,33389,85.4,77179,22.53,0.05
5540545,49.6,63.8,36.7,63.9,2.57,50.4,22,29.6,24.9,14.9,544733,64,25,34542,86.9,51233,16.44,0.04
3576452,51.2,62.9,40.9,64.9,2.55,46.9,27.5,24.4,21.9,16.7,514050,62.1,26.3,41087,84.1,72013,12.75,0.1
952065,51.7,61.1,40.6,66.2,2.64,46.6,32.1,26.3,18.4,12.6,89391,57.6,26.1,31712,83.3,59960,15.1,0.21
681170,52.5,70.7,33.9,43.6,2.28,28.3,17.8,15.9,24,32.9,90631,64,30.8,50567,79.8,73991,14.23,0.47
20612439,51.1,60.1,42.1,64.2,2.66,45.8,28.9,29.9,18.2,10.4,4236511,54.4,27.4,28621,81.2,46612,19.48,0.15
10310371,51.3,62.4,36.5,67.3,2.73,46.6,27.8,28.2,18.7,11.7,1038312,58.6,28.5,28183,80.7,54190,15.66,0.31
1428557,49.7,61.4,38.9,69.2,3.04,49.3,28,32,21.4,10.6,262485,59.6,27.4,32634,83.2,56049,16.83,0.01
1683140,50,58.9,36.1,67.4,2.71,53.9,27.9,34.9,18.7,8.9,97953,58.8,20.9,25678,79.4,46122,19.24,0.01
12801539,50.9,62.5,37.9,64.3,2.59,47.1,26,28.9,20.9,13,1783474,61,28.9,32849,82,63475,16.69,0.14
6633053,50.7,61.2,37.6,65,2.54,48.6,33.7,29,16.3,9.3,349169,60.4,23.6,27464,79.2,53645,17.41,0.09
3134693,50.3,60.4,38,63.7,2.43,52.2,31.1,32.2,19.1,9.3,160189,64.8,19,30047,79.6,54386,14.22,0.03
2907289,50.2,60.4,36.5,64.5,2.55,51,26.2,31.5,20.7,12.2,205522,62.7,19.4,28950,80.3,47755,14.31,0.06
4436974,50.9,61.7,38.7,65.3,2.51,48.2,32.3,29.9,14,9.5,155964,55.2,23.3,26046,77.3,52134,16.19,0.08
4681666,51,61.7,36.5,63.8,2.65,42.5,34,27,15.2,8.2,189921,54.8,25,25664,74.4,49745,15.99,0.32
1331479,51.1,61.6,44.5,62,2.44,48.7,32.9,29.3,18.8,11.3,50768,59.4,23.9,29604,80.7,50498,12.13,0.02
6016447,51.5,63,38.5,66.5,2.68,46.4,25.4,25.4,20.9,18.5,921870,63.8,32.8,38662,85.8,66456,14.65,0.29
6811779,51.5,64,39.5,63.3,2.54,45.8,24.5,23.2,23.8,19,1123882,63.7,29.6,39771,85.5,76522,13.17,0.07
9928300,50.8,61.8,39.7,63.8,2.5,47.5,29.3,32.9,17.2,11.1,662279,57.3,24.5,29128,80.5,61875,17.5,0.14
5519952,50.2,61.6,37.9,63.6,2.51,51.3,25.2,32.9,23.1,11.7,452436,66.8,23.5,34515,83.5,56913,16.01,0.06
2988726,51.8,60.8,37.2,67,2.65,44.3,30.8,31.5,13.5,8.2,58766,52.3,24.3,22694,70.7,42744,15.38,0.38
6093000,50.9,61.2,38.4,64.4,2.49,48.8,30.7,30.4,17.7,10.8,249202,59.5,23.7,28406,79.3,47959,11.96,0.11
1042520,49.5,60.5,40.1,61.9,2.44,51.6,29,32.9,20.9,10.1,21893,60.1,17.5,28933,78.9,51034,14.06,0.006
1907116,50.2,60.2,36.3,63.7,2.48,51.7,26.4,33.1,21.1,10.4,134137,66.6,18.6,29910,81.6,51386,12.92,0.04
2940058,49.9,62,37.9,63.6,2.75,44.3,29.1,33.5,15.3,8.1,586799,58.8,24.1,28117,80.9,56943,25.67,0.08
1334795,50.2,63.5,42.7,65.9,2.48,51.3,27,29.2,22.5,14.1,76309,65,26.9,36320,86.4,56616,12.07,0.01
8944469,51.1,62.5,39.5,68.8,2.74,48.6,27.6,23.1,23.7,14.9,2016085,61.3,31.7,38911,84.2,69330,11.95,0.12
2081015,50.5,60,37.7,63.4,2.69,44.2,26.6,31.6,15.5,11.7,198406,53.3,21.9,25146,73.7,47163,15.46,0.02
19745289,51.5,63.5,38.4,63,2.66,44.1,26.2,24.5,20.1,15.5,4536115,59.2,33.4,35534,81.7,79152,12.65,0.14
10146788,51.4,62,38.7,65.5,2.55,48.4,25.8,31.1,19.6,10.8,789638,57.2,24.4,28156,79,47941,15.29,0.21
757953,48.5,62.5,35,58.7,2.32,52,27.1,35.7,21.7,7.8,24588,67.9,17.4,33339,81.4,51223,12.53,0.03
11614373,51,61.3,39.3,63.3,2.44,47.4,33.3,29.2,17.2,10.3,513592,59.5,23.4,29164,80.9,56441,16.02,0.12
3923561,50.5,60.5,36.4,65.5,2.6,48.9,31.2,31.4,16.8,8.4,228414,56.9,21.4,25880,77.2,45276,16.32,0.07
4093465,50.5,62,39.2,63.4,2.55,48.9,22.9,34.6,20,12.7,394217,58.3,23.9,30822,84.9,60395,19.95,0.02
12784227,51,61.7,40.6,63.8,2.5,47.1,35.1,24.2,18.8,12,870913,58.5,26.9,31272,80.5,65151,14.73,0.1
1056426,51.6,63.8,40.2,60.6,2.48,42.7,27.8,26.6,20.6,13.5,148480,59.7,24.8,33008,82.8,66197,15.52,0.06
4961119,51.5,61,39.1,65.2,2.57,46.2,29,30.4,17.4,9.8,237964,55.9,24.7,27016,77,48769,14.82,0.27
865454,49.7,59.4,36.8,62.9,2.49,50.5,29,33.3,19.6,9.2,30926,65,16.6,28585,79.5,42025,13.88,0.01
6651194,51.2,61.6,38.6,65.4,2.54,48.4,32.4,28.5,16.7,9.4,320021,56.8,25.1,27087,76.7,48817,14.94,0.16
27862596,50.4,61.9,34.5,69.2,2.86,48.7,25.2,28.9,18.9,10,4729920,60.5,26.5,28714,80.5,51890,15.21,0.12
3051217,49.6,59.3,30.7,75.4,3.19,54.9,22.7,36.5,21.4,11.2,252333,65.2,21.6,26993,85.4,46887,22.89,0.01
624594,50.7,62.8,43.1,60.6,2.35,47.9,29.3,26.5,21.1,15.2,28223,62.5,23.1,31836,81.1,55726,9.49,0.01
8411808,50.8,63.2,38.2,66.1,2.62,49.4,24,27.2,21.7,16.4,1031169,60.9,28.5,36206,83.4,49690,12.19,0.19
7288000,50.1,62.9,37.7,64.5,2.58,50.4,22.3,33.4,22,13.2,1020394,59.8,27.8,35284,87.4,53701,18.43,0.03
1831102,50.8,60.7,42.3,64.7,2.47,48.7,39.7,25.5,12.6,8.2,31770,49.4,25.4,24769,74.2,45622,14.22,0.03
5778709,50.3,61.7,39.4,62.8,2.42,50,31.1,31.3,19.3,10.2,288544,63.8,21.9,30902,81.3,54115,15.24,0.06
585501,49.1,60.9,37.2,65.1,2.55,53,29.3,36.7,17.4,9.7,18856,62.6,16.9,30042,83.2,58140,12.48,0.01
